python3 08_dqn_rainbow.py --cuda
295816: done 362 games, mean reward -20.690, speed 83.61 f/s
297242: done 363 games, mean reward -20.690, speed 83.36 f/s
299083: done 364 games, mean reward -20.640, speed 83.09 f/s
300981: done 365 games, mean reward -20.590, speed 83.23 f/s
303114: done 366 games, mean reward -20.510, speed 83.29 f/s
305313: done 367 games, mean reward -20.470, speed 83.39 f/s
308423: done 368 games, mean reward -20.420, speed 83.22 f/s
310627: done 369 games, mean reward -20.370, speed 82.35 f/s
312452: done 370 games, mean reward -20.360, speed 83.38 f/s
314793: done 371 games, mean reward -20.350, speed 83.42 f/s
317629: done 372 games, mean reward -20.310, speed 83.55 f/s
320679: done 373 games, mean reward -20.260, speed 83.33 f/s
323312: done 374 games, mean reward -20.190, speed 83.24 f/s
325426: done 375 games, mean reward -20.130, speed 83.49 f/s
328359: done 376 games, mean reward -20.080, speed 83.50 f/s
331820: done 377 games, mean reward -20.010, speed 83.54 f/s
334987: done 378 games, mean reward -19.970, speed 83.34 f/s
338392: done 379 games, mean reward -19.910, speed 82.86 f/s
341129: done 380 games, mean reward -19.830, speed 82.91 f/s
344450: done 381 games, mean reward -19.750, speed 83.07 f/s
347863: done 382 games, mean reward -19.650, speed 83.53 f/s
351721: done 383 games, mean reward -19.590, speed 83.39 f/s
354787: done 384 games, mean reward -19.570, speed 82.97 f/s
358152: done 385 games, mean reward -19.550, speed 83.63 f/s
360688: done 386 games, mean reward -19.530, speed 83.60 f/s
364778: done 387 games, mean reward -19.480, speed 82.93 f/s
368503: done 388 games, mean reward -19.400, speed 83.10 f/s
372983: done 389 games, mean reward -19.320, speed 81.68 f/s
378062: done 390 games, mean reward -19.030, speed 83.12 f/s
382967: done 391 games, mean reward -18.950, speed 83.54 f/s
388355: done 392 games, mean reward -18.730, speed 83.59 f/s
392503: done 393 games, mean reward -18.670, speed 83.60 f/s
397377: done 394 games, mean reward -18.390, speed 83.40 f/s
403917: done 395 games, mean reward -18.190, speed 82.46 f/s
409009: done 396 games, mean reward -17.960, speed 83.36 f/s
412522: done 397 games, mean reward -17.610, speed 83.53 f/s
415232: done 398 games, mean reward -17.240, speed 83.59 f/s
418214: done 399 games, mean reward -16.910, speed 83.49 f/s
