python3 02_dqn_n_steps.py --cuda
380783: done 166 games, mean reward 2.010, speed 161.08 f/s, eps 0.02
382999: done 167 games, mean reward 2.350, speed 163.10 f/s, eps 0.02
384972: done 168 games, mean reward 2.750, speed 163.29 f/s, eps 0.02
387278: done 169 games, mean reward 3.120, speed 162.22 f/s, eps 0.02
389437: done 170 games, mean reward 3.450, speed 171.89 f/s, eps 0.02
392165: done 171 games, mean reward 3.710, speed 180.90 f/s, eps 0.02
394602: done 172 games, mean reward 4.060, speed 181.57 f/s, eps 0.02
397333: done 173 games, mean reward 4.370, speed 181.76 f/s, eps 0.02
399886: done 174 games, mean reward 4.720, speed 183.18 f/s, eps 0.02
402401: done 175 games, mean reward 5.080, speed 181.68 f/s, eps 0.02
404725: done 176 games, mean reward 5.410, speed 181.73 f/s, eps 0.02
407387: done 177 games, mean reward 5.710, speed 181.61 f/s, eps 0.02
410103: done 178 games, mean reward 5.920, speed 181.64 f/s, eps 0.02
412434: done 179 games, mean reward 6.290, speed 183.17 f/s, eps 0.02
414962: done 180 games, mean reward 6.610, speed 181.54 f/s, eps 0.02
417858: done 181 games, mean reward 6.930, speed 180.62 f/s, eps 0.02
420311: done 182 games, mean reward 7.260, speed 182.64 f/s, eps 0.02
422649: done 183 games, mean reward 7.580, speed 182.24 f/s, eps 0.02
425102: done 184 games, mean reward 7.930, speed 181.49 f/s, eps 0.02
427363: done 185 games, mean reward 8.240, speed 182.38 f/s, eps 0.02
429775: done 186 games, mean reward 8.550, speed 181.78 f/s, eps 0.02
432459: done 187 games, mean reward 8.750, speed 182.54 f/s, eps 0.02
434694: done 188 games, mean reward 9.020, speed 181.45 f/s, eps 0.02
437378: done 189 games, mean reward 9.230, speed 182.16 f/s, eps 0.02
440251: done 190 games, mean reward 9.470, speed 182.62 f/s, eps 0.02
442329: done 191 games, mean reward 9.820, speed 182.57 f/s, eps 0.02
444461: done 192 games, mean reward 10.100, speed 183.05 f/s, eps 0.02
446787: done 193 games, mean reward 10.400, speed 181.91 f/s, eps 0.02
448915: done 194 games, mean reward 10.670, speed 182.21 f/s, eps 0.02
451487: done 195 games, mean reward 10.840, speed 182.13 f/s, eps 0.02
453982: done 196 games, mean reward 11.050, speed 182.19 f/s, eps 0.02
456394: done 197 games, mean reward 11.280, speed 182.42 f/s, eps 0.02
459547: done 198 games, mean reward 11.490, speed 182.07 f/s, eps 0.02
462039: done 199 games, mean reward 11.830, speed 181.99 f/s, eps 0.02
464358: done 200 games, mean reward 12.110, speed 182.21 f/s, eps 0.02
466290: done 201 games, mean reward 12.330, speed 181.91 f/s, eps 0.02
468373: done 202 games, mean reward 12.640, speed 182.10 f/s, eps 0.02
470524: done 203 games, mean reward 12.910, speed 182.87 f/s, eps 0.02
472583: done 204 games, mean reward 13.230, speed 181.56 f/s, eps 0.02
474728: done 205 games, mean reward 13.570, speed 182.11 f/s, eps 0.02
476611: done 206 games, mean reward 13.820, speed 182.03 f/s, eps 0.02
