279660: done 343 games, mean reward -20.870, speed 5.12 f/s
280423: done 344 games, mean reward -20.870, speed 5.15 f/s
281181: done 345 games, mean reward -20.870, speed 5.10 f/s
282059: done 346 games, mean reward -20.870, speed 5.05 f/s
282881: done 347 games, mean reward -20.870, speed 5.03 f/s
283703: done 348 games, mean reward -20.870, speed 5.16 f/s
284521: done 349 games, mean reward -20.880, speed 5.15 f/s
285279: done 350 games, mean reward -20.880, speed 5.13 f/s
286036: done 351 games, mean reward -20.880, speed 5.06 f/s
286798: done 352 games, mean reward -20.880, speed 5.00 f/s
287557: done 353 games, mean reward -20.880, speed 5.02 f/s
288489: done 354 games, mean reward -20.860, speed 4.98 f/s
289251: done 355 games, mean reward -20.860, speed 5.02 f/s
290014: done 356 games, mean reward -20.860, speed 4.97 f/s
290776: done 357 games, mean reward -20.860, speed 4.97 f/s
291533: done 358 games, mean reward -20.860, speed 5.07 f/s
292296: done 359 games, mean reward -20.860, speed 5.05 f/s
293081: done 360 games, mean reward -20.860, speed 4.87 f/s
293900: done 361 games, mean reward -20.860, speed 4.97 f/s
294659: done 362 games, mean reward -20.860, speed 5.01 f/s
295417: done 363 games, mean reward -20.860, speed 4.91 f/s
296318: done 364 games, mean reward -20.850, speed 4.97 f/s
297075: done 365 games, mean reward -20.850, speed 5.06 f/s
297836: done 366 games, mean reward -20.880, speed 4.99 f/s
298594: done 367 games, mean reward -20.890, speed 4.99 f/s
299357: done 368 games, mean reward -20.890, speed 5.01 f/s
300133: done 369 games, mean reward -20.890, speed 5.00 f/s
^CTraceback (most recent call last):
  File "08_dqn_rainbow.py", line 166, in <module>
    params['gamma'] ** REWARD_STEPS, device=device)
  File "08_dqn_rainbow.py", line 101, in calc_loss
    distr_v, qvals_v = net.both(torch.cat((states_v, next_states_v)))
  File "08_dqn_rainbow.py", line 75, in both
    cat_out = self(x)
  File "/home/proton/.local/lib/python3.6/site-packages/torch/nn/modules/module.py", line 491, in __call__
    result = self.forward(*input, **kwargs)
  File "08_dqn_rainbow.py", line 70, in forward
    adv_out = self.fc_adv(conv_out).view(batch_size, -1, N_ATOMS)
  File "/home/proton/.local/lib/python3.6/site-packages/torch/nn/modules/module.py", line 491, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/proton/.local/lib/python3.6/site-packages/torch/nn/modules/container.py", line 91, in forward
    input = module(input)
  File "/home/proton/.local/lib/python3.6/site-packages/torch/nn/modules/module.py", line 491, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/proton/eeic/rl/Deep-Reinforcement-Learning-Hands-On/Chapter07/lib/dqn_model.py", line 25, in forward
    self.epsilon_weight.normal_()
KeyboardInterrupt
