python3 04_dqn_noisy_net.py --cuda
187780: done 213 games, mean reward -20.450, speed 153.83 f/s
188770: done 214 games, mean reward -20.440, speed 150.15 f/s
189649: done 215 games, mean reward -20.450, speed 156.33 f/s
190517: done 216 games, mean reward -20.440, speed 157.05 f/s
191398: done 217 games, mean reward -20.430, speed 157.37 f/s
192366: done 218 games, mean reward -20.440, speed 158.43 f/s
193203: done 219 games, mean reward -20.440, speed 158.00 f/s
194115: done 220 games, mean reward -20.450, speed 154.60 f/s
194933: done 221 games, mean reward -20.480, speed 149.24 f/s
195694: done 222 games, mean reward -20.480, speed 147.04 f/s
196503: done 223 games, mean reward -20.500, speed 150.96 f/s
197347: done 224 games, mean reward -20.510, speed 144.56 f/s
198212: done 225 games, mean reward -20.500, speed 146.35 f/s
198972: done 226 games, mean reward -20.500, speed 145.03 f/s
199734: done 227 games, mean reward -20.500, speed 144.26 f/s
200661: done 228 games, mean reward -20.480, speed 146.47 f/s
201712: done 229 games, mean reward -20.470, speed 149.06 f/s
202552: done 230 games, mean reward -20.470, speed 146.83 f/s
203442: done 231 games, mean reward -20.460, speed 142.14 f/s
204229: done 232 games, mean reward -20.460, speed 142.92 f/s
205126: done 233 games, mean reward -20.450, speed 143.22 f/s
205914: done 234 games, mean reward -20.450, speed 143.91 f/s
206778: done 235 games, mean reward -20.450, speed 143.32 f/s
207655: done 236 games, mean reward -20.450, speed 142.27 f/s
208537: done 237 games, mean reward -20.450, speed 142.58 f/s
209397: done 238 games, mean reward -20.440, speed 143.56 f/s
210364: done 239 games, mean reward -20.460, speed 144.02 f/s
211203: done 240 games, mean reward -20.470, speed 143.78 f/s
212047: done 241 games, mean reward -20.500, speed 144.30 f/s
212939: done 242 games, mean reward -20.490, speed 143.09 f/s
213779: done 243 games, mean reward -20.490, speed 147.49 f/s
214615: done 244 games, mean reward -20.480, speed 145.24 f/s
215450: done 245 games, mean reward -20.470, speed 145.31 f/s
216272: done 246 games, mean reward -20.480, speed 141.92 f/s
217113: done 247 games, mean reward -20.470, speed 142.30 f/s
217897: done 248 games, mean reward -20.470, speed 143.01 f/s
218856: done 249 games, mean reward -20.460, speed 137.53 f/s
219750: done 250 games, mean reward -20.460, speed 143.27 f/s
220573: done 251 games, mean reward -20.460, speed 142.06 f/s
221579: done 252 games, mean reward -20.450, speed 140.46 f/s
222460: done 253 games, mean reward -20.460, speed 140.86 f/s
223301: done 254 games, mean reward -20.450, speed 142.26 f/s
224247: done 255 games, mean reward -20.440, speed 142.11 f/s
225224: done 256 games, mean reward -20.420, speed 143.59 f/s
226142: done 257 games, mean reward -20.410, speed 143.32 f/s
226903: done 258 games, mean reward -20.440, speed 141.07 f/s
