python3 03_dqn_double.py --cuda --double
537293: done 252 games, mean reward 15.140, speed 150.12 f/s, eps 0.02
539148: done 253 games, mean reward 15.350, speed 150.56 f/s, eps 0.02
540884: done 254 games, mean reward 15.490, speed 150.54 f/s, eps 0.02
542668: done 255 games, mean reward 15.750, speed 151.78 f/s, eps 0.02
544910: done 256 games, mean reward 16.010, speed 151.76 f/s, eps 0.02
547440: done 257 games, mean reward 16.200, speed 150.31 f/s, eps 0.02
549220: done 258 games, mean reward 16.310, speed 148.90 f/s, eps 0.02
551326: done 259 games, mean reward 16.400, speed 148.87 f/s, eps 0.02
553353: done 260 games, mean reward 16.500, speed 151.05 f/s, eps 0.02
555535: done 261 games, mean reward 16.540, speed 152.03 f/s, eps 0.02
557530: done 262 games, mean reward 16.680, speed 153.16 f/s, eps 0.02
559633: done 263 games, mean reward 16.780, speed 153.99 f/s, eps 0.02
561452: done 264 games, mean reward 16.980, speed 152.40 f/s, eps 0.02
563168: done 265 games, mean reward 17.120, speed 152.20 f/s, eps 0.02
565039: done 266 games, mean reward 17.180, speed 151.43 f/s, eps 0.02
566797: done 267 games, mean reward 17.320, speed 149.77 f/s, eps 0.02
568885: done 268 games, mean reward 17.340, speed 149.50 f/s, eps 0.02
570708: done 269 games, mean reward 17.410, speed 144.67 f/s, eps 0.02
572733: done 270 games, mean reward 17.470, speed 149.49 f/s, eps 0.02
574445: done 271 games, mean reward 17.530, speed 147.58 f/s, eps 0.02
576162: done 272 games, mean reward 17.610, speed 148.54 f/s, eps 0.02
578248: done 273 games, mean reward 17.650, speed 152.58 f/s, eps 0.02
580105: done 274 games, mean reward 17.640, speed 149.26 f/s, eps 0.02
582010: done 275 games, mean reward 17.670, speed 152.23 f/s, eps 0.02
584029: done 276 games, mean reward 17.650, speed 151.63 f/s, eps 0.02
586191: done 277 games, mean reward 17.700, speed 151.70 f/s, eps 0.02
588678: done 278 games, mean reward 17.700, speed 150.38 f/s, eps 0.02
590744: done 279 games, mean reward 17.680, speed 152.10 f/s, eps 0.02
592866: done 280 games, mean reward 17.710, speed 153.11 f/s, eps 0.02
594869: done 281 games, mean reward 17.690, speed 152.38 f/s, eps 0.02
596595: done 282 games, mean reward 17.710, speed 152.97 f/s, eps 0.02
598499: done 283 games, mean reward 17.770, speed 152.29 f/s, eps 0.02
600290: done 284 games, mean reward 17.790, speed 152.05 f/s, eps 0.02
602085: done 285 games, mean reward 17.810, speed 151.56 f/s, eps 0.02
603778: done 286 games, mean reward 17.840, speed 151.84 f/s, eps 0.02
605932: done 287 games, mean reward 17.850, speed 152.04 f/s, eps 0.02
607779: done 288 games, mean reward 17.860, speed 152.46 f/s, eps 0.02
609690: done 289 games, mean reward 17.850, speed 151.96 f/s, eps 0.02
611478: done 290 games, mean reward 17.870, speed 151.97 f/s, eps 0.02
613741: done 291 games, mean reward 17.820, speed 151.36 f/s, eps 0.02
615486: done 292 games, mean reward 17.840, speed 151.78 f/s, eps 0.02
617178: done 293 games, mean reward 17.870, speed 151.50 f/s, eps 0.02
619415: done 294 games, mean reward 17.870, speed 151.12 f/s, eps 0.02
621378: done 295 games, mean reward 17.940, speed 152.34 f/s, eps 0.02
623294: done 296 games, mean reward 17.920, speed 149.27 f/s, eps 0.02
625105: done 297 games, mean reward 17.960, speed 143.45 f/s, eps 0.02
627081: done 298 games, mean reward 18.000, speed 150.10 f/s, eps 0.02
628879: done 299 games, mean reward 18.030, speed 148.56 f/s, eps 0.02
Solved in 628879 frames!
