PGN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
62217: reward: 200.00, mean_100: 154.39, episodes: 439
62418: reward: 200.00, mean_100: 155.12, episodes: 440
62619: reward: 200.00, mean_100: 155.58, episodes: 441
62820: reward: 200.00, mean_100: 155.98, episodes: 442
63021: reward: 200.00, mean_100: 155.98, episodes: 443
63222: reward: 200.00, mean_100: 155.98, episodes: 444
63423: reward: 200.00, mean_100: 155.98, episodes: 445
63624: reward: 200.00, mean_100: 155.98, episodes: 446
63825: reward: 200.00, mean_100: 155.98, episodes: 447
64026: reward: 200.00, mean_100: 155.98, episodes: 448
64227: reward: 200.00, mean_100: 155.98, episodes: 449
64428: reward: 200.00, mean_100: 155.98, episodes: 450
64629: reward: 200.00, mean_100: 155.98, episodes: 451
64830: reward: 200.00, mean_100: 155.98, episodes: 452
65031: reward: 200.00, mean_100: 155.98, episodes: 453
65232: reward: 200.00, mean_100: 155.98, episodes: 454
65433: reward: 200.00, mean_100: 155.98, episodes: 455
65634: reward: 200.00, mean_100: 156.13, episodes: 456
65835: reward: 200.00, mean_100: 156.13, episodes: 457
66036: reward: 200.00, mean_100: 156.13, episodes: 458
66237: reward: 200.00, mean_100: 156.27, episodes: 459
66438: reward: 200.00, mean_100: 156.41, episodes: 460
66639: reward: 200.00, mean_100: 156.75, episodes: 461
66840: reward: 200.00, mean_100: 157.08, episodes: 462
67041: reward: 200.00, mean_100: 157.56, episodes: 463
67242: reward: 200.00, mean_100: 158.16, episodes: 464
67443: reward: 200.00, mean_100: 158.52, episodes: 465
67644: reward: 200.00, mean_100: 158.97, episodes: 466
67845: reward: 200.00, mean_100: 159.69, episodes: 467
68046: reward: 200.00, mean_100: 160.62, episodes: 468
68247: reward: 200.00, mean_100: 161.48, episodes: 469
68448: reward: 200.00, mean_100: 162.19, episodes: 470
68649: reward: 200.00, mean_100: 162.60, episodes: 471
68850: reward: 200.00, mean_100: 163.14, episodes: 472
69051: reward: 200.00, mean_100: 163.64, episodes: 473
69252: reward: 200.00, mean_100: 164.40, episodes: 474
