steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_kl	average_policy_step_size
2700031	999	8972.284973859787	1100.0	985.0	518.1376908377412	2060.0	550.0	65.90478	1.22692266215384	0.004197826045565307	1.0
2752024	1016	9142.462208986282	946.0	900.0	242.95404229332482	1420.0	660.0	97.48702	1.4375923830866815	0.004166385540738702	1.0
2802849	1033	9316.426404237747	1232.0	1130.0	589.6100406200695	2580.0	600.0	4.7119718	1.3492976581454277	0.00415130517911166	1.0
2851713	1049	9481.502274513245	1268.0	1175.0	676.9342656417978	2980.0	670.0	97.96448	1.6826967041492462	0.004162842046935111	1.0
2900697	1065	9645.90841460228	1159.0	1130.0	455.49606657650367	1990.0	500.0	37.65286	1.4089347978830338	0.0041409180010668935	1.0
2950873	1081	9813.130541086197	1098.0	955.0	455.89472468981256	2040.0	690.0	14.241552	1.069746112048626	0.0041223773662932214	1.0
3001987	1099	9983.928545951843	1093.0	975.0	312.90928752950464	1730.0	750.0	155.40108	1.1940245121140034	0.004118341049179435	1.0
3051916	1116	10152.084489107132	986.0	990.0	268.212187973958	1580.0	640.0	186.04892	1.2482278473377229	0.0041002340195700525	1.0
3101590	1134	10321.647654533386	1189.0	1155.0	370.77846035964205	1900.0	590.0	303.09244	1.4335498060882093	0.004092653482221067	1.0
3151375	1151	10489.52895450592	1469.0	1055.0	1226.6526267312465	4640.0	530.0	199.25064	0.9321102626621723	0.004078769145999104	1.0
3204474	1170	10660.331864356995	1067.0	1215.0	326.5322852848296	1450.0	520.0	83.759315	1.444384356379509	0.004094264041632414	1.0
3252091	1187	10821.42579460144	886.0	805.0	355.2839240194618	1470.0	290.0	82.539	1.1271747564896941	0.004087290419265628	1.0
3302092	1204	10988.936940431595	942.0	980.0	252.70975885830413	1320.0	550.0	159.54477	1.3417936125099659	0.004119280145969242	1.0
3351325	1221	11153.175271987915	1003.0	930.0	486.59931040732977	2130.0	330.0	199.19856	1.2785994682312012	0.004073055884800851	1.0
3400214	1238	11321.8226480484	898.0	815.0	286.8526528454015	1450.0	560.0	63.264217	1.270467287272215	0.004071330353617668	1.0
3452208	1256	11493.336381435394	998.0	945.0	278.9185464531815	1460.0	620.0	113.03908	1.2699725430309772	0.004088308431673795	1.0
3501186	1274	11665.111287593842	1093.0	1030.0	395.61625626637516	2030.0	630.0	291.18298	1.1658095400333404	0.004071085704490543	1.0
3553204	1292	11844.161302804947	892.0	820.0	367.1148775701325	1560.0	470.0	243.99272	1.0409753141105176	0.004084703605622053	1.0
3601389	1309	12016.217888116837	1200.0	1160.0	590.2165327704364	2220.0	350.0	128.45937	1.0581880467943847	0.004065916319377721	1.0
3650166	1326	12183.954264879227	1176.0	915.0	492.5489259397938	2050.0	650.0	26.014362	1.4181247342824936	0.004076550197787583	1.0
3701368	1344	12353.97211766243	917.0	930.0	466.45352275322017	1780.0	300.0	166.22806	1.2558055518865585	0.004068354170303792	1.0
3750746	1362	12520.479814529419	750.0	745.0	195.73224341204264	1110.0	530.0	205.73653	1.0908362269140779	0.004096994865685702	1.0
3801892	1380	12698.343753099442	939.0	755.0	438.4936335531756	1880.0	530.0	93.578445	1.1115083578824998	0.004084635346662253	1.0
3850141	1397	12861.467519521713	1349.0	1135.0	1032.2623482213983	4000.0	490.0	53.21697	0.8548445626050234	0.004109451246913523	1.0
3901945	1417	13036.9554002285	992.0	870.0	396.61904476041826	1790.0	610.0	165.72798	1.2989850556328892	0.004108606313820928	1.0
3950867	1435	13202.92262506485	1104.0	1160.0	399.0878488642709	1730.0	530.0	7.192199	1.2157607780098916	0.004107741012703627	1.0
4000676	1452	13378.10945224762	1201.0	1045.0	835.3236232476341	3460.0	520.0	28.290028	1.1847647998929023	0.004135141640435904	1.0
4052310	1470	13557.029480457306	1052.0	1195.0	398.2684744965107	1450.0	250.0	36.73719	1.4262321604937316	0.004114505285397172	1.0
4100967	1487	13721.610323905945	1147.0	1125.0	364.784563513559	1940.0	770.0	123.307274	0.9496281320750714	0.004125539143569767	1.0
4150384	1504	13882.132840156555	889.0	825.0	348.0565088219632	1390.0	330.0	33.104267	1.3018682026714086	0.004143508449196816	1.0
4201569	1521	14053.388023138046	1092.0	980.0	511.5292975208969	2110.0	610.0	51.64899	1.1416458861008287	0.004135252758860588	1.0
4252036	1540	14231.644557476044	1201.0	1145.0	438.84824003039796	2070.0	670.0	197.25229	1.1911866772174835	0.0041263661812990906	1.0
4300517	1557	14404.383476734161	1122.0	1025.0	672.0416653749974	2330.0	310.0	75.727	1.4520155794620513	0.0041157414601184425	1.0
4350143	1575	14578.840000152588	1136.0	1080.0	546.5284378084395	2350.0	570.0	31.073618	1.4020577563345433	0.004096169392578303	1.0
4401546	1594	14754.926610946655	1066.0	1115.0	505.023651811367	2010.0	320.0	187.70697	1.4124846523404122	0.004068818374071271	1.0
4452532	1612	14935.307683229446	927.0	815.0	449.91480675049286	1540.0	250.0	102.554	1.341311995357275	0.004076761421747506	1.0
4501997	1629	15108.14495921135	1024.0	925.0	378.86379845239605	1970.0	530.0	222.36298	1.3915919736325741	0.004078460056334734	1.0
4550367	1647	15279.642765045166	1235.0	1105.0	510.27770217140915	2470.0	750.0	53.17878	1.3601437765657902	0.004099660876672715	1.0
4604018	1666	15464.11378121376	1416.0	1425.0	614.1878105813129	2260.0	500.0	28.673716	1.601576240003109	0.004088230594061315	1.0
4650899	1683	15633.197798728943	1163.0	1090.0	704.1472383907596	2720.0	190.0	193.94817	1.4395624227970838	0.004083002530969679	1.0
4702044	1700	15806.459094524384	880.0	825.0	259.8717632474397	1350.0	550.0	182.61212	1.3807672432661056	0.0041084215533919635	1.0
4752053	1717	15973.031431913376	955.0	885.0	350.53134271020934	1410.0	350.0	158.91219	1.5485718412399292	0.004088826235383749	1.0
4800255	1735	16137.814029455185	1017.0	925.0	433.51406487499855	2140.0	540.0	20.927498	1.1466130000054837	0.004087976892478764	1.0
