python3 03_pong_a2c_rollouts.py --cuda -n test0
AtariA2C(
  (conv): Sequential(
    (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
    (1): ReLU()
    (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
    (3): ReLU()
    (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
    (5): ReLU()
  )
  (policy): Sequential(
    (0): Linear(in_features=3136, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=6, bias=True)
  )
  (value): Sequential(
    (0): Linear(in_features=3136, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=1, bias=True)
  )
)
243520: done 259 games, mean reward -20.410, speed 962.35 f/s
244096: done 260 games, mean reward -20.400, speed 926.86 f/s
244736: done 261 games, mean reward -20.390, speed 971.87 f/s
246656: done 262 games, mean reward -20.390, speed 971.95 f/s
246976: done 263 games, mean reward -20.380, speed 958.22 f/s
247552: done 264 games, mean reward -20.370, speed 973.36 f/s
248384: done 265 games, mean reward -20.370, speed 976.63 f/s
248896: done 266 games, mean reward -20.370, speed 966.74 f/s
249344: done 267 games, mean reward -20.350, speed 977.68 f/s
250624: done 268 games, mean reward -20.340, speed 980.17 f/s
250816: done 269 games, mean reward -20.340, speed 932.86 f/s
254144: done 270 games, mean reward -20.340, speed 977.06 f/s
255232: done 271 games, mean reward -20.320, speed 954.25 f/s
256064: done 272 games, mean reward -20.320, speed 946.58 f/s
257856: done 273 games, mean reward -20.320, speed 953.70 f/s
258944: done 274 games, mean reward -20.310, speed 980.32 f/s
260736: done 275 games, mean reward -20.300, speed 979.27 f/s
260800: done 276 games, mean reward -20.290, speed 846.89 f/s
260992: done 277 games, mean reward -20.290, speed 967.87 f/s
261056: done 278 games, mean reward -20.310, speed 847.86 f/s
261696: done 279 games, mean reward -20.300, speed 951.84 f/s
262400: done 280 games, mean reward -20.300, speed 975.91 f/s
262656: done 281 games, mean reward -20.270, speed 974.82 f/s
263104: done 282 games, mean reward -20.260, speed 981.15 f/s
265344: done 283 games, mean reward -20.270, speed 981.75 f/s
266688: done 284 games, mean reward -20.280, speed 961.76 f/s
267968: done 285 games, mean reward -20.280, speed 914.61 f/s
269120: done 286 games, mean reward -20.290, speed 936.58 f/s
270336: done 287 games, mean reward -20.290, speed 950.62 f/s
271104: done 288 games, mean reward -20.270, speed 965.62 f/s
273216: done 289 games, mean reward -20.270, speed 950.06 f/s
274176: done 290 games, mean reward -20.260, speed 933.56 f/s
274368: done 291 games, mean reward -20.260, speed 909.12 f/s
274560: done 292 games, mean reward -20.270, speed 889.27 f/s
275520: done 293 games, mean reward -20.270, speed 905.36 f/s
275840: done 294 games, mean reward -20.260, speed 903.30 f/s
276224: done 295 games, mean reward -20.260, speed 846.12 f/s
277440: done 296 games, mean reward -20.280, speed 938.11 f/s
277952: done 297 games, mean reward -20.300, speed 933.76 f/s
279936: done 298 games, mean reward -20.280, speed 951.35 f/s
280704: done 299 games, mean reward -20.270, speed 934.41 f/s
282752: done 300 games, mean reward -20.270, speed 931.02 f/s
284352: done 301 games, mean reward -20.260, speed 950.60 f/s
285120: done 302 games, mean reward -20.260, speed 950.02 f/s
285440: done 303 games, mean reward -20.210, speed 943.10 f/s
287808: done 304 games, mean reward -20.180, speed 953.48 f/s
287936: done 305 games, mean reward -20.190, speed 890.75 f/s
288320: done 306 games, mean reward -20.190, speed 907.09 f/s
288576: done 307 games, mean reward -20.190, speed 902.39 f/s
289344: done 308 games, mean reward -20.190, speed 946.08 f/s
289408: done 309 games, mean reward -20.180, speed 855.04 f/s
289536: done 310 games, mean reward -20.200, speed 911.93 f/s
291008: done 311 games, mean reward -20.190, speed 954.40 f/s
291072: done 312 games, mean reward -20.200, speed 823.47 f/s
291840: done 313 games, mean reward -20.200, speed 921.92 f/s
293120: done 314 games, mean reward -20.200, speed 947.79 f/s
294976: done 315 games, mean reward -20.220, speed 960.08 f/s
295360: done 316 games, mean reward -20.220, speed 930.04 f/s
298176: done 317 games, mean reward -20.230, speed 957.99 f/s
298304: done 318 games, mean reward -20.240, speed 884.36 f/s
299520: done 319 games, mean reward -20.240, speed 960.45 f/s
300992: done 320 games, mean reward -20.250, speed 985.03 f/s
301632: done 321 games, mean reward -20.260, speed 959.01 f/s
301760: done 322 games, mean reward -20.260, speed 881.43 f/s
302528: done 323 games, mean reward -20.260, speed 945.04 f/s
304320: done 324 games, mean reward -20.270, speed 961.28 f/s
304704: done 325 games, mean reward -20.260, speed 949.83 f/s
305088: done 326 games, mean reward -20.250, speed 947.75 f/s
307520: done 327 games, mean reward -20.250, speed 939.48 f/s
308416: done 328 games, mean reward -20.250, speed 917.05 f/s
310080: done 329 games, mean reward -20.220, speed 939.91 f/s
310208: done 330 games, mean reward -20.210, speed 881.43 f/s
311104: done 331 games, mean reward -20.210, speed 948.97 f/s
311680: done 332 games, mean reward -20.230, speed 946.26 f/s
312384: done 333 games, mean reward -20.230, speed 942.30 f/s
312512: done 334 games, mean reward -20.220, speed 888.44 f/s
315648: done 335 games, mean reward -20.230, speed 927.78 f/s
316416: done 336 games, mean reward -20.230, speed 946.54 f/s
317440: done 337 games, mean reward -20.235, speed 936.96 f/s
317568: done 338 games, mean reward -20.205, speed 907.10 f/s
318016: done 339 games, mean reward -20.215, speed 938.23 f/s
320640: done 340 games, mean reward -20.215, speed 958.61 f/s
321664: done 341 games, mean reward -20.225, speed 959.29 f/s
324992: done 342 games, mean reward -20.225, speed 951.66 f/s
325760: done 343 games, mean reward -20.235, speed 933.64 f/s
326272: done 344 games, mean reward -20.240, speed 918.00 f/s
327360: done 345 games, mean reward -20.240, speed 946.38 f/s
327616: done 346 games, mean reward -20.210, speed 909.61 f/s
330560: done 347 games, mean reward -20.210, speed 948.61 f/s
330688: done 348 games, mean reward -20.180, speed 898.55 f/s
330816: done 349 games, mean reward -20.170, speed 894.16 f/s
332096: done 350 games, mean reward -20.160, speed 944.01 f/s
332288: done 351 games, mean reward -20.150, speed 903.69 f/s
332992: done 352 games, mean reward -20.160, speed 942.32 f/s
333888: done 353 games, mean reward -20.140, speed 951.14 f/s
335936: done 354 games, mean reward -20.130, speed 936.64 f/s
336320: done 355 games, mean reward -20.130, speed 932.62 f/s
337984: done 356 games, mean reward -20.090, speed 951.28 f/s
340288: done 357 games, mean reward -20.080, speed 958.58 f/s
340736: done 358 games, mean reward -20.080, speed 938.49 f/s
341248: done 359 games, mean reward -20.070, speed 886.25 f/s
342848: done 360 games, mean reward -20.060, speed 934.96 f/s
343040: done 361 games, mean reward -20.070, speed 884.10 f/s
344768: done 362 games, mean reward -20.070, speed 942.58 f/s
345408: done 363 games, mean reward -20.070, speed 934.85 f/s
345472: done 364 games, mean reward -20.080, speed 835.25 f/s
345984: done 365 games, mean reward -20.080, speed 940.97 f/s
346112: done 366 games, mean reward -20.090, speed 904.63 f/s
346944: done 367 games, mean reward -20.080, speed 940.61 f/s
349952: done 368 games, mean reward -20.090, speed 954.80 f/s
350400: done 369 games, mean reward -20.080, speed 939.78 f/s
350784: done 370 games, mean reward -20.060, speed 930.91 f/s
351744: done 371 games, mean reward -20.060, speed 950.65 f/s
351936: done 372 games, mean reward -20.070, speed 924.74 f/s
353344: done 373 games, mean reward -20.070, speed 953.22 f/s
355136: done 374 games, mean reward -20.080, speed 952.34 f/s
355456: done 375 games, mean reward -20.090, speed 928.36 f/s
357824: done 376 games, mean reward -20.100, speed 951.97 f/s
357888: done 377 games, mean reward -20.100, speed 840.01 f/s
358784: done 378 games, mean reward -20.090, speed 950.67 f/s
359232: done 379 games, mean reward -20.100, speed 934.86 f/s
360000: done 380 games, mean reward -20.110, speed 947.30 f/s
360064: done 381 games, mean reward -20.130, speed 862.71 f/s
360128: done 382 games, mean reward -20.140, speed 866.28 f/s
361856: done 383 games, mean reward -20.120, speed 953.52 f/s
363520: done 384 games, mean reward -20.130, speed 943.92 f/s
365312: done 385 games, mean reward -20.140, speed 941.00 f/s
366080: done 386 games, mean reward -20.150, speed 936.80 f/s
367296: done 387 games, mean reward -20.130, speed 942.33 f/s
367552: done 388 games, mean reward -20.150, speed 913.99 f/s
369088: done 389 games, mean reward -20.160, speed 946.92 f/s
370432: done 390 games, mean reward -20.170, speed 945.49 f/s
370560: done 391 games, mean reward -20.170, speed 867.27 f/s
372864: done 392 games, mean reward -20.165, speed 948.27 f/s
373184: done 393 games, mean reward -20.175, speed 926.77 f/s
373376: done 394 games, mean reward -20.185, speed 916.96 f/s
375168: done 395 games, mean reward -20.195, speed 948.17 f/s
375744: done 396 games, mean reward -20.165, speed 941.79 f/s
376960: done 397 games, mean reward -20.165, speed 958.13 f/s
378496: done 398 games, mean reward -20.185, speed 959.75 f/s
378560: done 399 games, mean reward -20.195, speed 829.64 f/s
379136: done 400 games, mean reward -20.205, speed 953.40 f/s
381952: done 401 games, mean reward -20.205, speed 961.66 f/s
383872: done 402 games, mean reward -20.205, speed 958.63 f/s
384896: done 403 games, mean reward -20.245, speed 957.37 f/s
384960: done 404 games, mean reward -20.275, speed 844.03 f/s
385984: done 405 games, mean reward -20.275, speed 957.13 f/s
386496: done 406 games, mean reward -20.275, speed 950.60 f/s
387392: done 407 games, mean reward -20.275, speed 940.25 f/s
387584: done 408 games, mean reward -20.265, speed 919.47 f/s
387648: done 409 games, mean reward -20.275, speed 845.22 f/s
